WoodDeckSF,OpenPorchSF,EnclosedPorch,MiscVal,SaleCondition,SalePrice
0,61,0,0,Normal,208500
298,0,0,0,Normal,181500
0,42,0,0,Normal,223500
0,35,272,0,Abnorml,140000
192,84,0,0,Normal,250000
40,30,0,700,Normal,143000
255,57,0,0,Normal,307000
235,204,228,350,Normal,200000
90,0,205,0,Abnorml,129900
0,4,0,0,Normal,118000
0,0,0,0,Normal,129500
147,21,0,0,Partial,345000
140,0,0,0,Normal,144000
160,33,0,0,Partial,279500
0,213,176,0,Normal,157000
48,112,0,0,Normal,132000
0,0,0,700,Normal,149000
0,0,0,500,Normal,90000
0,102,0,0,Normal,159000
0,0,0,0,Abnorml,139000
240,154,0,0,Partial,325300
0,0,205,0,Normal,139400
171,159,0,0,Normal,230000
100,110,0,0,Normal,129900
406,90,0,0,Normal,154000
0,56,0,0,Normal,256300
222,32,0,0,Normal,134800
0,50,0,0,Normal,306000
288,258,0,0,Normal,207500
49,0,87,0,Normal,68500
0,54,172,0,Normal,40000
0,65,0,0,Normal,149350
0,30,0,0,Normal,179900
0,38,0,0,Normal,165500
203,47,0,0,Normal,277500
113,32,0,0,Normal,309000
392,64,0,0,Normal,145000
0,0,0,0,Normal,153000
0,52,0,0,Abnorml,109000
0,0,0,0,AdjLand,82000
0,138,0,0,Abnorml,160000
0,104,0,0,Normal,170000
240,0,0,0,Normal,144000
145,0,0,0,Normal,130250
0,0,0,0,Normal,141000
196,82,0,0,Normal,319900
168,43,0,0,Abnorml,239686
0,146,0,0,Normal,249700
0,0,102,0,Partial,113000
0,0,0,0,Normal,127000
0,75,0,0,Normal,177000
112,0,0,400,Normal,114500
106,0,0,0,Normal,110000
857,72,0,0,Normal,385000
0,50,0,0,Normal,130000
0,0,0,0,Normal,180500
115,0,0,0,Abnorml,172500
0,70,0,0,Normal,196500
192,0,37,0,Partial,438780
196,0,0,0,Normal,124900
0,50,0,0,Partial,158000
0,0,144,0,Normal,101000
120,49,0,0,Normal,202500
12,11,64,0,Normal,140000
576,36,0,0,Normal,219500
192,151,0,0,Normal,317000
301,0,0,0,Normal,180000
144,29,0,0,Normal,226000
0,0,0,0,Normal,80000
0,21,114,0,Normal,225000
300,0,0,0,Normal,244000
0,0,0,0,Normal,129500
0,94,0,0,Normal,185000
0,0,0,0,Normal,144900
0,0,202,0,Normal,107400
120,101,0,0,Normal,91000
0,0,0,0,Normal,135750
0,0,0,0,Normal,127000
0,0,0,0,Normal,136500
